bitrate,framerate,width,height,latency,throughput,packetloss,vr_exp,gaming_freq,pred
9,72,2880,1568,77,26,0,0,3,4.38
10,72,2880,1568,77,26,0,0,3,4.54
11,72,2880,1568,77,26,0,0,3,4.7
12,72,2880,1568,77,26,0,0,3,4.83
13,72,2880,1568,77,26,0,0,3,4.96
14,72,2880,1568,77,26,0,0,3,5.06
15,72,2880,1568,77,26,0,0,3,5.15
16,72,2880,1568,77,26,0,0,3,5.22
17,72,2880,1568,77,26,0,0,3,5.28
18,72,2880,1568,77,26,0,0,3,5.32
19,72,2880,1568,77,26,0,0,3,5.34
20,72,2880,1568,77,26,0,0,3,5.35
21,72,2880,1568,77,26,0,0,3,5.35
22,72,2880,1568,77,26,0,0,3,5.32
23,72,2880,1568,77,26,0,0,3,5.28
24,72,2880,1568,77,26,0,0,3,5.23
25,72,2880,1568,77,26,0,0,3,5.15
26,72,2880,1568,77,26,0,0,3,5.07
2,72,2880,1568,77,26,0,1,1,2.75
3,72,2880,1568,77,26,0,1,1,3.03
4,72,2880,1568,77,26,0,1,1,3.29
5,72,2880,1568,77,26,0,1,1,3.54
6,72,2880,1568,77,26,0,1,1,3.77
7,72,2880,1568,77,26,0,1,1,3.98
8,72,2880,1568,77,26,0,1,1,4.18
9,72,2880,1568,77,26,0,1,1,4.36
10,72,2880,1568,77,26,0,1,1,4.53
11,72,2880,1568,77,26,0,1,1,4.68
12,72,2880,1568,77,26,0,1,1,4.82
13,72,2880,1568,77,26,0,1,1,4.94
14,72,2880,1568,77,26,0,1,1,5.04
15,72,2880,1568,77,26,0,1,1,5.13
16,72,2880,1568,77,26,0,1,1,5.2
17,72,2880,1568,77,26,0,1,1,5.26
18,72,2880,1568,77,26,0,1,1,5.3
19,72,2880,1568,77,26,0,1,1,5.32
20,72,2880,1568,77,26,0,1,1,5.33
21,72,2880,1568,77,26,0,1,1,5.33
22,72,2880,1568,77,26,0,1,1,5.3
23,72,2880,1568,77,26,0,1,1,5.27
24,72,2880,1568,77,26,0,1,1,5.21
25,72,2880,1568,77,26,0,1,1,5.14
26,72,2880,1568,77,26,0,1,1,5.06
2,72,2880,1568,77,26,0,1,2,2.76
3,72,2880,1568,77,26,0,1,2,3.04
4,72,2880,1568,77,26,0,1,2,3.31
5,72,2880,1568,77,26,0,1,2,3.56
6,72,2880,1568,77,26,0,1,2,3.79
7,72,2880,1568,77,26,0,1,2,4.01
8,72,2880,1568,77,26,0,1,2,4.21
9,72,2880,1568,77,26,0,1,2,4.4
10,72,2880,1568,77,26,0,1,2,4.56
11,72,2880,1568,77,26,0,1,2,4.72
12,72,2880,1568,77,26,0,1,2,4.86
13,72,2880,1568,77,26,0,1,2,4.98
14,72,2880,1568,77,26,0,1,2,5.08
15,72,2880,1568,77,26,0,1,2,5.17
16,72,2880,1568,77,26,0,1,2,5.24
17,72,2880,1568,77,26,0,1,2,5.3
18,72,2880,1568,77,26,0,1,2,5.34
19,72,2880,1568,77,26,0,1,2,5.37
20,72,2880,1568,77,26,0,1,2,5.38
21,72,2880,1568,77,26,0,1,2,5.37
22,72,2880,1568,77,26,0,1,2,5.35
23,72,2880,1568,77,26,0,1,2,5.31
24,72,2880,1568,77,26,0,1,2,5.25
25,72,2880,1568,77,26,0,1,2,5.18
26,72,2880,1568,77,26,0,1,2,5.09
2,72,2880,1568,77,26,0,1,3,2.73
3,72,2880,1568,77,26,0,1,3,3.0
4,72,2880,1568,77,26,0,1,3,3.25
5,72,2880,1568,77,26,0,1,3,3.49
6,72,2880,1568,77,26,0,1,3,3.71
7,72,2880,1568,77,26,0,1,3,3.92
8,72,2880,1568,77,26,0,1,3,4.11
9,72,2880,1568,77,26,0,1,3,4.29
10,72,2880,1568,77,26,0,1,3,4.45
11,72,2880,1568,77,26,0,1,3,4.59
12,72,2880,1568,77,26,0,1,3,4.72
13,72,2880,1568,77,26,0,1,3,4.84
14,72,2880,1568,77,26,0,1,3,4.94
15,72,2880,1568,77,26,0,1,3,5.02
16,72,2880,1568,77,26,0,1,3,5.09
17,72,2880,1568,77,26,0,1,3,5.15
18,72,2880,1568,77,26,0,1,3,5.19
19,72,2880,1568,77,26,0,1,3,5.21
20,72,2880,1568,77,26,0,1,3,5.22
21,72,2880,1568,77,26,0,1,3,5.21
22,72,2880,1568,77,26,0,1,3,5.19
23,72,2880,1568,77,26,0,1,3,5.15
24,72,2880,1568,77,26,0,1,3,5.1
25,72,2880,1568,77,26,0,1,3,5.03
26,72,2880,1568,77,26,0,1,3,4.94
2,72,2880,1568,77,30,0,0,1,2.64
3,72,2880,1568,77,30,0,0,1,2.9
4,72,2880,1568,77,30,0,0,1,3.15
5,72,2880,1568,77,30,0,0,1,3.38
6,72,2880,1568,77,30,0,0,1,3.6
7,72,2880,1568,77,30,0,0,1,3.8
8,72,2880,1568,77,30,0,0,1,3.99
9,72,2880,1568,77,30,0,0,1,4.16
10,72,2880,1568,77,30,0,0,1,4.32
11,72,2880,1568,77,30,0,0,1,4.46
12,72,2880,1568,77,30,0,0,1,4.59
13,72,2880,1568,77,30,0,0,1,4.7
14,72,2880,1568,77,30,0,0,1,4.8
15,72,2880,1568,77,30,0,0,1,4.89
16,72,2880,1568,77,30,0,0,1,4.95
17,72,2880,1568,77,30,0,0,1,5.01
18,72,2880,1568,77,30,0,0,1,5.05
19,72,2880,1568,77,30,0,0,1,5.07
20,72,2880,1568,77,30,0,0,1,5.08
21,72,2880,1568,77,30,0,0,1,5.07
22,72,2880,1568,77,30,0,0,1,5.05
23,72,2880,1568,77,30,0,0,1,5.02
24,72,2880,1568,77,30,0,0,1,4.96
25,72,2880,1568,77,30,0,0,1,4.9
26,72,2880,1568,77,30,0,0,1,4.82
27,72,2880,1568,77,30,0,0,1,4.72
28,72,2880,1568,77,30,0,0,1,4.61
29,72,2880,1568,77,30,0,0,1,4.49
30,72,2880,1568,77,30,0,0,1,4.35
2,72,2880,1568,77,30,0,0,2,2.68
3,72,2880,1568,77,30,0,0,2,2.95
4,72,2880,1568,77,30,0,0,2,3.2
5,72,2880,1568,77,30,0,0,2,3.43
6,72,2880,1568,77,30,0,0,2,3.65
7,72,2880,1568,77,30,0,0,2,3.86
8,72,2880,1568,77,30,0,0,2,4.05
9,72,2880,1568,77,30,0,0,2,4.23
10,72,2880,1568,77,30,0,0,2,4.39
11,72,2880,1568,77,30,0,0,2,4.53
12,72,2880,1568,77,30,0,0,2,4.66
13,72,2880,1568,77,30,0,0,2,4.78
14,72,2880,1568,77,30,0,0,2,4.87
15,72,2880,1568,77,30,0,0,2,4.96
16,72,2880,1568,77,30,0,0,2,5.03
17,72,2880,1568,77,30,0,0,2,5.08
18,72,2880,1568,77,30,0,0,2,5.12
19,72,2880,1568,77,30,0,0,2,5.15
20,72,2880,1568,77,30,0,0,2,5.15
21,72,2880,1568,77,30,0,0,2,5.15
22,72,2880,1568,77,30,0,0,2,5.13
23,72,2880,1568,77,30,0,0,2,5.09
24,72,2880,1568,77,30,0,0,2,5.04
25,72,2880,1568,77,30,0,0,2,4.97
26,72,2880,1568,77,30,0,0,2,4.89
27,72,2880,1568,77,30,0,0,2,4.79
28,72,2880,1568,77,30,0,0,2,4.68
29,72,2880,1568,77,30,0,0,2,4.55
