bitrate,framerate,width,height,latency,throughput,packetloss,vr_exp,gaming_freq,pred
7,72,2880,1568,77,21,0,0,3,3.71
8,72,2880,1568,77,21,0,0,3,3.76
9,72,2880,1568,77,21,0,0,3,3.81
10,72,2880,1568,77,21,0,0,3,3.85
11,72,2880,1568,77,21,0,0,3,3.89
12,72,2880,1568,77,21,0,0,3,3.92
13,72,2880,1568,77,21,0,0,3,3.96
14,72,2880,1568,77,21,0,0,3,3.98
15,72,2880,1568,77,21,0,0,3,4.01
16,72,2880,1568,77,21,0,0,3,4.03
17,72,2880,1568,77,21,0,0,3,4.04
18,72,2880,1568,77,21,0,0,3,4.06
19,72,2880,1568,77,21,0,0,3,4.06
20,72,2880,1568,77,21,0,0,3,4.07
21,72,2880,1568,77,21,0,0,3,4.07
2,72,2880,1568,77,21,0,1,1,3.59
3,72,2880,1568,77,21,0,1,1,3.67
4,72,2880,1568,77,21,0,1,1,3.74
5,72,2880,1568,77,21,0,1,1,3.81
6,72,2880,1568,77,21,0,1,1,3.88
7,72,2880,1568,77,21,0,1,1,3.94
8,72,2880,1568,77,21,0,1,1,4.0
9,72,2880,1568,77,21,0,1,1,4.05
10,72,2880,1568,77,21,0,1,1,4.1
11,72,2880,1568,77,21,0,1,1,4.15
12,72,2880,1568,77,21,0,1,1,4.19
13,72,2880,1568,77,21,0,1,1,4.22
14,72,2880,1568,77,21,0,1,1,4.25
15,72,2880,1568,77,21,0,1,1,4.28
16,72,2880,1568,77,21,0,1,1,4.3
17,72,2880,1568,77,21,0,1,1,4.32
18,72,2880,1568,77,21,0,1,1,4.33
19,72,2880,1568,77,21,0,1,1,4.34
20,72,2880,1568,77,21,0,1,1,4.35
21,72,2880,1568,77,21,0,1,1,4.35
2,72,2880,1568,77,21,0,1,2,3.69
3,72,2880,1568,77,21,0,1,2,3.77
4,72,2880,1568,77,21,0,1,2,3.84
5,72,2880,1568,77,21,0,1,2,3.91
6,72,2880,1568,77,21,0,1,2,3.98
7,72,2880,1568,77,21,0,1,2,4.04
8,72,2880,1568,77,21,0,1,2,4.1
9,72,2880,1568,77,21,0,1,2,4.15
10,72,2880,1568,77,21,0,1,2,4.2
11,72,2880,1568,77,21,0,1,2,4.25
12,72,2880,1568,77,21,0,1,2,4.29
13,72,2880,1568,77,21,0,1,2,4.32
14,72,2880,1568,77,21,0,1,2,4.36
15,72,2880,1568,77,21,0,1,2,4.38
16,72,2880,1568,77,21,0,1,2,4.41
17,72,2880,1568,77,21,0,1,2,4.43
18,72,2880,1568,77,21,0,1,2,4.44
19,72,2880,1568,77,21,0,1,2,4.45
20,72,2880,1568,77,21,0,1,2,4.46
21,72,2880,1568,77,21,0,1,2,4.46
2,72,2880,1568,77,21,0,1,3,3.68
3,72,2880,1568,77,21,0,1,3,3.76
4,72,2880,1568,77,21,0,1,3,3.83
5,72,2880,1568,77,21,0,1,3,3.9
6,72,2880,1568,77,21,0,1,3,3.97
7,72,2880,1568,77,21,0,1,3,4.03
8,72,2880,1568,77,21,0,1,3,4.09
9,72,2880,1568,77,21,0,1,3,4.14
10,72,2880,1568,77,21,0,1,3,4.19
11,72,2880,1568,77,21,0,1,3,4.24
12,72,2880,1568,77,21,0,1,3,4.28
13,72,2880,1568,77,21,0,1,3,4.31
14,72,2880,1568,77,21,0,1,3,4.34
15,72,2880,1568,77,21,0,1,3,4.37
16,72,2880,1568,77,21,0,1,3,4.4
17,72,2880,1568,77,21,0,1,3,4.41
18,72,2880,1568,77,21,0,1,3,4.43
19,72,2880,1568,77,21,0,1,3,4.44
20,72,2880,1568,77,21,0,1,3,4.45
21,72,2880,1568,77,21,0,1,3,4.45
2,72,2880,1568,77,26,0,0,1,3.16
3,72,2880,1568,77,26,0,0,1,3.22
4,72,2880,1568,77,26,0,0,1,3.28
5,72,2880,1568,77,26,0,0,1,3.33
6,72,2880,1568,77,26,0,0,1,3.38
7,72,2880,1568,77,26,0,0,1,3.43
8,72,2880,1568,77,26,0,0,1,3.47
9,72,2880,1568,77,26,0,0,1,3.51
10,72,2880,1568,77,26,0,0,1,3.55
11,72,2880,1568,77,26,0,0,1,3.58
12,72,2880,1568,77,26,0,0,1,3.61
13,72,2880,1568,77,26,0,0,1,3.64
14,72,2880,1568,77,26,0,0,1,3.66
15,72,2880,1568,77,26,0,0,1,3.68
16,72,2880,1568,77,26,0,0,1,3.7
17,72,2880,1568,77,26,0,0,1,3.71
18,72,2880,1568,77,26,0,0,1,3.72
19,72,2880,1568,77,26,0,0,1,3.72
20,72,2880,1568,77,26,0,0,1,3.73
21,72,2880,1568,77,26,0,0,1,3.73
22,72,2880,1568,77,26,0,0,1,3.72
23,72,2880,1568,77,26,0,0,1,3.72
24,72,2880,1568,77,26,0,0,1,3.71
25,72,2880,1568,77,26,0,0,1,3.69
26,72,2880,1568,77,26,0,0,1,3.67
2,72,2880,1568,77,26,0,0,2,3.26
3,72,2880,1568,77,26,0,0,2,3.32
4,72,2880,1568,77,26,0,0,2,3.38
5,72,2880,1568,77,26,0,0,2,3.44
6,72,2880,1568,77,26,0,0,2,3.49
7,72,2880,1568,77,26,0,0,2,3.54
8,72,2880,1568,77,26,0,0,2,3.58
9,72,2880,1568,77,26,0,0,2,3.62
10,72,2880,1568,77,26,0,0,2,3.66
11,72,2880,1568,77,26,0,0,2,3.69
12,72,2880,1568,77,26,0,0,2,3.72
13,72,2880,1568,77,26,0,0,2,3.75
14,72,2880,1568,77,26,0,0,2,3.78
15,72,2880,1568,77,26,0,0,2,3.8
16,72,2880,1568,77,26,0,0,2,3.81
17,72,2880,1568,77,26,0,0,2,3.83
18,72,2880,1568,77,26,0,0,2,3.84
19,72,2880,1568,77,26,0,0,2,3.84
20,72,2880,1568,77,26,0,0,2,3.85
21,72,2880,1568,77,26,0,0,2,3.85
22,72,2880,1568,77,26,0,0,2,3.84
23,72,2880,1568,77,26,0,0,2,3.84
24,72,2880,1568,77,26,0,0,2,3.83
25,72,2880,1568,77,26,0,0,2,3.81
26,72,2880,1568,77,26,0,0,2,3.8
2,72,2880,1568,77,26,0,0,3,3.27
3,72,2880,1568,77,26,0,0,3,3.34
4,72,2880,1568,77,26,0,0,3,3.4
5,72,2880,1568,77,26,0,0,3,3.46
6,72,2880,1568,77,26,0,0,3,3.51
7,72,2880,1568,77,26,0,0,3,3.56
8,72,2880,1568,77,26,0,0,3,3.61
9,72,2880,1568,77,26,0,0,3,3.65
10,72,2880,1568,77,26,0,0,3,3.69
11,72,2880,1568,77,26,0,0,3,3.73
12,72,2880,1568,77,26,0,0,3,3.76
13,72,2880,1568,77,26,0,0,3,3.79
14,72,2880,1568,77,26,0,0,3,3.82
15,72,2880,1568,77,26,0,0,3,3.84
16,72,2880,1568,77,26,0,0,3,3.86
17,72,2880,1568,77,26,0,0,3,3.87
18,72,2880,1568,77,26,0,0,3,3.88
19,72,2880,1568,77,26,0,0,3,3.89
20,72,2880,1568,77,26,0,0,3,3.89
21,72,2880,1568,77,26,0,0,3,3.89
22,72,2880,1568,77,26,0,0,3,3.89
23,72,2880,1568,77,26,0,0,3,3.88
24,72,2880,1568,77,26,0,0,3,3.87
25,72,2880,1568,77,26,0,0,3,3.86
26,72,2880,1568,77,26,0,0,3,3.84
2,72,2880,1568,77,26,0,1,1,3.55
3,72,2880,1568,77,26,0,1,1,3.63
4,72,2880,1568,77,26,0,1,1,3.7
5,72,2880,1568,77,26,0,1,1,3.77
6,72,2880,1568,77,26,0,1,1,3.83
7,72,2880,1568,77,26,0,1,1,3.89
8,72,2880,1568,77,26,0,1,1,3.95
9,72,2880,1568,77,26,0,1,1,4.0
10,72,2880,1568,77,26,0,1,1,4.05
11,72,2880,1568,77,26,0,1,1,4.09
12,72,2880,1568,77,26,0,1,1,4.13
13,72,2880,1568,77,26,0,1,1,4.17
14,72,2880,1568,77,26,0,1,1,4.2
15,72,2880,1568,77,26,0,1,1,4.22
16,72,2880,1568,77,26,0,1,1,4.24
17,72,2880,1568,77,26,0,1,1,4.26
18,72,2880,1568,77,26,0,1,1,4.27
19,72,2880,1568,77,26,0,1,1,4.28
20,72,2880,1568,77,26,0,1,1,4.29
21,72,2880,1568,77,26,0,1,1,4.29
22,72,2880,1568,77,26,0,1,1,4.28
23,72,2880,1568,77,26,0,1,1,4.28
24,72,2880,1568,77,26,0,1,1,4.26
25,72,2880,1568,77,26,0,1,1,4.25
26,72,2880,1568,77,26,0,1,1,4.23
2,72,2880,1568,77,26,0,1,2,3.63
3,72,2880,1568,77,26,0,1,2,3.71
4,72,2880,1568,77,26,0,1,2,3.78
5,72,2880,1568,77,26,0,1,2,3.85
6,72,2880,1568,77,26,0,1,2,3.92
7,72,2880,1568,77,26,0,1,2,3.98
8,72,2880,1568,77,26,0,1,2,4.04
9,72,2880,1568,77,26,0,1,2,4.09
10,72,2880,1568,77,26,0,1,2,4.14
11,72,2880,1568,77,26,0,1,2,4.19
12,72,2880,1568,77,26,0,1,2,4.23
13,72,2880,1568,77,26,0,1,2,4.26
14,72,2880,1568,77,26,0,1,2,4.29
15,72,2880,1568,77,26,0,1,2,4.32
16,72,2880,1568,77,26,0,1,2,4.34
17,72,2880,1568,77,26,0,1,2,4.36
18,72,2880,1568,77,26,0,1,2,4.37
19,72,2880,1568,77,26,0,1,2,4.38
20,72,2880,1568,77,26,0,1,2,4.39
21,72,2880,1568,77,26,0,1,2,4.39
22,72,2880,1568,77,26,0,1,2,4.39
23,72,2880,1568,77,26,0,1,2,4.38
24,72,2880,1568,77,26,0,1,2,4.37
25,72,2880,1568,77,26,0,1,2,4.35
26,72,2880,1568,77,26,0,1,2,4.33
2,72,2880,1568,77,26,0,1,3,3.58
3,72,2880,1568,77,26,0,1,3,3.66
4,72,2880,1568,77,26,0,1,3,3.73
5,72,2880,1568,77,26,0,1,3,3.8
6,72,2880,1568,77,26,0,1,3,3.87
7,72,2880,1568,77,26,0,1,3,3.93
8,72,2880,1568,77,26,0,1,3,3.99
9,72,2880,1568,77,26,0,1,3,4.04
10,72,2880,1568,77,26,0,1,3,4.09
11,72,2880,1568,77,26,0,1,3,4.14
12,72,2880,1568,77,26,0,1,3,4.18
13,72,2880,1568,77,26,0,1,3,4.21
14,72,2880,1568,77,26,0,1,3,4.24
15,72,2880,1568,77,26,0,1,3,4.27
16,72,2880,1568,77,26,0,1,3,4.29
17,72,2880,1568,77,26,0,1,3,4.31
18,72,2880,1568,77,26,0,1,3,4.32
19,72,2880,1568,77,26,0,1,3,4.33
20,72,2880,1568,77,26,0,1,3,4.33
21,72,2880,1568,77,26,0,1,3,4.33
22,72,2880,1568,77,26,0,1,3,4.33
23,72,2880,1568,77,26,0,1,3,4.32
24,72,2880,1568,77,26,0,1,3,4.31
25,72,2880,1568,77,26,0,1,3,4.29
26,72,2880,1568,77,26,0,1,3,4.27
2,72,2880,1568,77,30,0,0,1,3.2
3,72,2880,1568,77,30,0,0,1,3.26
4,72,2880,1568,77,30,0,0,1,3.32
5,72,2880,1568,77,30,0,0,1,3.37
6,72,2880,1568,77,30,0,0,1,3.42
7,72,2880,1568,77,30,0,0,1,3.47
8,72,2880,1568,77,30,0,0,1,3.51
9,72,2880,1568,77,30,0,0,1,3.55
10,72,2880,1568,77,30,0,0,1,3.59
11,72,2880,1568,77,30,0,0,1,3.62
12,72,2880,1568,77,30,0,0,1,3.65
13,72,2880,1568,77,30,0,0,1,3.68
14,72,2880,1568,77,30,0,0,1,3.7
15,72,2880,1568,77,30,0,0,1,3.72
16,72,2880,1568,77,30,0,0,1,3.74
17,72,2880,1568,77,30,0,0,1,3.75
18,72,2880,1568,77,30,0,0,1,3.76
19,72,2880,1568,77,30,0,0,1,3.77
20,72,2880,1568,77,30,0,0,1,3.77
21,72,2880,1568,77,30,0,0,1,3.77
