bitrate,framerate,width,height,latency,throughput,packetloss,vr_exp,gaming_freq,pred
11,72,2880,1568,77,21,0,1,1,4.56
12,72,2880,1568,77,21,0,1,1,4.65
13,72,2880,1568,77,21,0,1,1,4.73
14,72,2880,1568,77,21,0,1,1,4.8
15,72,2880,1568,77,21,0,1,1,4.85
16,72,2880,1568,77,21,0,1,1,4.9
17,72,2880,1568,77,21,0,1,1,4.94
18,72,2880,1568,77,21,0,1,1,4.97
19,72,2880,1568,77,21,0,1,1,4.99
20,72,2880,1568,77,21,0,1,1,5.0
21,72,2880,1568,77,21,0,1,1,5.0
2,72,2880,1568,77,21,0,1,2,3.35
3,72,2880,1568,77,21,0,1,2,3.52
4,72,2880,1568,77,21,0,1,2,3.69
5,72,2880,1568,77,21,0,1,2,3.84
6,72,2880,1568,77,21,0,1,2,3.99
7,72,2880,1568,77,21,0,1,2,4.12
8,72,2880,1568,77,21,0,1,2,4.25
9,72,2880,1568,77,21,0,1,2,4.37
10,72,2880,1568,77,21,0,1,2,4.47
11,72,2880,1568,77,21,0,1,2,4.57
12,72,2880,1568,77,21,0,1,2,4.66
13,72,2880,1568,77,21,0,1,2,4.73
14,72,2880,1568,77,21,0,1,2,4.8
15,72,2880,1568,77,21,0,1,2,4.86
16,72,2880,1568,77,21,0,1,2,4.91
17,72,2880,1568,77,21,0,1,2,4.95
18,72,2880,1568,77,21,0,1,2,4.97
19,72,2880,1568,77,21,0,1,2,4.99
20,72,2880,1568,77,21,0,1,2,5.0
21,72,2880,1568,77,21,0,1,2,5.0
2,72,2880,1568,77,21,0,1,3,3.31
3,72,2880,1568,77,21,0,1,3,3.48
4,72,2880,1568,77,21,0,1,3,3.64
5,72,2880,1568,77,21,0,1,3,3.79
6,72,2880,1568,77,21,0,1,3,3.93
7,72,2880,1568,77,21,0,1,3,4.06
8,72,2880,1568,77,21,0,1,3,4.18
9,72,2880,1568,77,21,0,1,3,4.29
10,72,2880,1568,77,21,0,1,3,4.39
11,72,2880,1568,77,21,0,1,3,4.49
12,72,2880,1568,77,21,0,1,3,4.57
13,72,2880,1568,77,21,0,1,3,4.65
14,72,2880,1568,77,21,0,1,3,4.71
15,72,2880,1568,77,21,0,1,3,4.77
16,72,2880,1568,77,21,0,1,3,4.81
17,72,2880,1568,77,21,0,1,3,4.85
18,72,2880,1568,77,21,0,1,3,4.88
19,72,2880,1568,77,21,0,1,3,4.9
20,72,2880,1568,77,21,0,1,3,4.91
