bitrate,framerate,width,height,latency,throughput,packetloss,vr_exp,gaming_freq,SI,TI,pred
4,72,2880,1568,77,18,0,0,3,35.72,24.41,3.81
5,72,2880,1568,77,18,0,0,3,35.72,24.41,3.81
6,72,2880,1568,77,18,0,0,3,35.72,24.41,3.82
7,72,2880,1568,77,18,0,0,3,35.72,24.41,3.82
8,72,2880,1568,77,18,0,0,3,35.72,24.41,3.83
9,72,2880,1568,77,18,0,0,3,35.72,24.41,3.84
10,72,2880,1568,77,18,0,0,3,35.72,24.41,3.84
11,72,2880,1568,77,18,0,0,3,35.72,24.41,3.85
12,72,2880,1568,77,18,0,0,3,35.72,24.41,3.85
13,72,2880,1568,77,18,0,0,3,35.72,24.41,3.86
14,72,2880,1568,77,18,0,0,3,35.72,24.41,3.86
15,72,2880,1568,77,18,0,0,3,35.72,24.41,3.87
16,72,2880,1568,77,18,0,0,3,35.72,24.41,3.87
17,72,2880,1568,77,18,0,0,3,35.72,24.41,3.88
18,72,2880,1568,77,18,0,0,3,35.72,24.41,3.88
2,72,2880,1568,77,18,0,0,3,48.04,40.5,3.92
3,72,2880,1568,77,18,0,0,3,48.04,40.5,3.92
4,72,2880,1568,77,18,0,0,3,48.04,40.5,3.93
5,72,2880,1568,77,18,0,0,3,48.04,40.5,3.93
6,72,2880,1568,77,18,0,0,3,48.04,40.5,3.93
7,72,2880,1568,77,18,0,0,3,48.04,40.5,3.94
8,72,2880,1568,77,18,0,0,3,48.04,40.5,3.94
9,72,2880,1568,77,18,0,0,3,48.04,40.5,3.94
10,72,2880,1568,77,18,0,0,3,48.04,40.5,3.95
11,72,2880,1568,77,18,0,0,3,48.04,40.5,3.95
12,72,2880,1568,77,18,0,0,3,48.04,40.5,3.96
13,72,2880,1568,77,18,0,0,3,48.04,40.5,3.96
14,72,2880,1568,77,18,0,0,3,48.04,40.5,3.97
15,72,2880,1568,77,18,0,0,3,48.04,40.5,3.97
16,72,2880,1568,77,18,0,0,3,48.04,40.5,3.98
17,72,2880,1568,77,18,0,0,3,48.04,40.5,3.98
18,72,2880,1568,77,18,0,0,3,48.04,40.5,3.99
2,72,2880,1568,77,18,0,0,3,45.27,37.92,3.98
3,72,2880,1568,77,18,0,0,3,45.27,37.92,3.98
4,72,2880,1568,77,18,0,0,3,45.27,37.92,3.99
5,72,2880,1568,77,18,0,0,3,45.27,37.92,3.99
6,72,2880,1568,77,18,0,0,3,45.27,37.92,3.99
7,72,2880,1568,77,18,0,0,3,45.27,37.92,4.0
8,72,2880,1568,77,18,0,0,3,45.27,37.92,4.0
